trip_id,taxi_id,trip_seconds,trip_miles,trip_tips},trip_tolls,trip_extras,trip_total,trip_start_hour,trip_end_hour,trip_junk,trip_location_grid_start,trip_location_grid_end
00064c39eeb9cba73ad53a13804aca0bb9db5d22,95ec993d14762b5d1b7e4d2b30661da6b49b7f0c1eb20f210fbd5d49cf70de5990df25d5617483c3467e94e6a0670c629de4a83bdfd545e70444da871b70925b,644,2.55,0.00,0.00,0.00,10.00,41,11,0,19,4
0006679958f2454319bdaca405d6f9749a899e03,5a9018714632ffaccdd5caa19fbd919a62bba3e0d469feb16fa042a995e3093993364b1f0c87bf700bfb33f00ecd887ba06c2745d5d8c32e8753d2babb4a7882,3180,12.2,0.00,0.00,0.00,37.00,6,42,7,27,9
000670e0d407c8fa57f973448e73b24632b1ae0f,2c1267cbb5667c1f61fe7807c2fd963de1ed9b17851fd3d3b4df9f1df8f7eedff1ebb08069a0da1e890787c12429efe98e46e3cb8d0f0bd68786b9477a5826bc,842,4.36,0.00,0.00,0.00,14.25,27,27,0,16,4
0006963c8d8c3cd5c78f504d475ef11426127721,261b4db1c52868b756351f3cba8d9cc18cbb0166b27610bb408b4083e9aa048547ad745e8441d8d7b5319d3264616eea90012ed7af684585dede410191d1c2cf,1747,11.21,0.00,0.00,0.00,31.00,43,44,13,4,39
00069e45204c3b0c3e8fd7f3634293b88c3f7ac6,5684532ed1cdd7cdb913cba01dc0667632954842d29a14e448ec6adda0ef87c958edf029db241cedf373bb3c42be9c2aed367a383ef8239d3a8bd9fbc6161ebf,1310,14.71,12.45,0.00,4.00,53.95,2,45,6,8,16
000713eccdbe67f495adea78b039ef47f21a4510,3301c640e4343a7fba9ed83ccf64f807450d0d9a257fad721fc26a01688a3ffe800b747ca9ba274784660f656914a4d6b431cc16435e6d380017d1cab27ab287,60,0,0.00,0.00,0.00,3.25,46,46,27,17,17
00075f55e213b9fb14a8498b772e390df1cf1a8d,d12b9e3cb8201f4c58e7d3ad3a970bb83f46788415f5d9d81a37fda3765b84dc2ce337a58cfeb7c5ba0c712460353b85799e69232f5e75cded26080cb06485a2,660,4.8,5.50,0.00,0.00,20.75,35,12,8,16,7
0007d189e90efadaee70dabb57c7f3b007e177c9,78fb99d332dd664846f7934b7292dbb205641674541ff27091934949dc87ec67bc3c4f03ce935f50b045593d790b7aa5aa24b79f2d193d76d135a34c4150bb06,540,1.5,0.00,0.00,0.00,7.75,31,31,7,24,40
0007d9d79458937dca86561546fc15e124e87996,ca83178fa4ea3bcd66fe18442103abfb68222d7a44086870f2a2ad16a8ae091062277415b3eb36b5208e701f033ff98c5a3a1ec47abe044b0c475d49e7bb1950,28,0,0.00,0.00,0.00,3.25,47,47,0,24,24
0007da47d0701268d0f46438b54d55f433f7c8c2,e2d8418fcdb061eee0a4318fba0a6a1200aaff0143feb0a74c7175a02ec7afca09f8c24de278cd0dee124d29dbfb2796407d069b90dfc13353d5d4ed02ecb0d5,697,2.54,1.44,0.00,0.00,14.10,13,48,28,4,21
0007ddf7f79d21e11ce7d5fcd3a675ca43865109,7a44d1655eea488badca070f84c5a50dc512dccdca7f19a0b5d718788ae716b406ac71f39be01d4d0415a8b21b1106c229e79cb4331ae44cbfe6842a5df66b47,1740,0.6,8.50,0.00,4.00,42.00,34,21,1,8,20
0007eed6951f3a0b7b39afc0cdbe4cddf59f8ffe,0cae7ec64456b1830bd58df1991f046410f5506cf28b3aa16b6d5c4940b44ff0ca069324233093161b43d212c2c5eac61536cfa6e3284117bb62ee4105e945b1,1500,0.8,0.00,0.00,5.00,41.75,49,33,7,14,41
00080ac127f47b6d95d4bb04cc7a9e9259d5b694,f45c4bfa9d6c445eb03ab69093f7ec1e9cdecef83cb2cedd0d739143caa40e15d2e8be5e3df63c6304151e5d9904fad85ae4acffb2b6e20f886eb55438fce790,480,2,0.00,0.00,0.00,8.25,3,6,3,42,3
0008221e1c7d3759f5650a86d471ca974ce94ce7,1a248eb87ae578f15af2a14c2eb7b4b264f6babab9ad9cc93d655e1f83c3207e62beb1a4b088d75e8077a5421391d32171edacfcb3f6250657f8d3b9f0ebbaec,2143,0.02,0.00,0.00,0.00,15.00,50,51,5,17,17
0008230a22e0a1e23336183eee3724f9689acbd3,ca1efdc5a54d76d7a66c601208036ffed786e4c3a2a24fcb9f5aac9edd389b45f76142aca1e17865be85b5ab9a303df789b1a85acafe84eebdbec79e53aff3f9,2700,15.1,8.80,0.00,4.00,52.80,37,52,8,8,16
00084ce903ddb6924c2f530b3a7040686c901b58,14bb6996d155f550fb51bfc2563179aa64c76a534aa8ff851fe03f4bcf97a097abe755ed67356c43005dc16a0cc7245955730fb0d847fdfe21b4e3a855eccdc3,341,0.5,0.00,0.00,2.00,7.25,53,31,12,43,43
0008a3687bf98a32b387e239fa303e85d7c0571b,201c8f3d95f81b3d765f2ea3fc7a640031a3f73d6dbfb1e707c540dad9d2d3d9f083d6749d9f230345e0b432589608742fdcf840cf9a1a3d650ee01a6f157e4b,422,2.24,0.00,0.00,1.00,9.50,54,55,0,44,6
0008a5d97f7382570220e3b2eed5374419f5224c,4077b6d5d9faa02d0516e7edf62ad50ddef0865e9dd8974b79b0e5cb221c957dd7bc4f916f4086a62fa835f1ef81aceb10a48f02eff945cd440bcc39840ffa33,600,0,0.00,0.00,1.50,10.00,17,17,29,24,45
0008c71f8a04fa0ae903666d7f44fb93235334da,f7702c24e158419dab2ab9901f181b533f0d43392b52bc3b57348fdcbb275106d8f63ad5d96f154169e88fe91a99043475c9b28eb852d31bc2c5281a8445cff1,1754,12.74,5.00,0.00,0.00,39.75,50,51,26,43,2
0008da209b136854fe5325275198967fb84e7feb,a1d450978c238cda3a675fe514b22ccdade956e95f9bd68e46004b7d4495025af79520aca6017104ec34ac3b20d82654fcf8623409fb89d9d8e0ff801511d92a,780,0.1,0.00,0.00,1.00,11.00,32,49,27,46,47
000921de627f183ed81f976c7982549f2515bd4c,ed0aa578d1d6f993916813f8bed5d2fe1ac4d098be3ba52e0adfa126e28625a4bab89b195e48237a216fd5903768665f5203add75fe2c9b74eb0d5ed64de0bdf,283,1.15,2.68,0.00,0.00,12.04,56,57,30,4,9
